yu2008_no,split,polymer_key,frequency_Hz,tan_delta_exp,excluded_by_yu2008,citation,notes
1,train,PVC,100,0.01300,no,Yu2008,Table 1
2,train,PVAc,100,0.00490,no,Yu2008,Table 1
3,train,PVCH,100,0.00150,no,Yu2008,Table 1
4,train,PNVC,100,0.00130,no,Yu2008,Table 1
5,train,PMMA,100,0.06050,no,Yu2008,Table 1
6,train,PEMA,100,0.04200,no,Yu2008,Table 1
7,train,PiBMA,100,0.01110,no,Yu2008,Table 1
8,train,PnBMA,100,0.06050,no,Yu2008,Table 1
9,train,PCHMA,100,0.00460,no,Yu2008,Table 1
10,train,PP,100,0.00015,no,Yu2008,Table 1
11,train,PIB,100,0.00040,no,Yu2008,Table 1
12,train,PoVP,100,0.03600,no,Yu2008,Table 1
13,train,PVA,1000,0.18500,no,Yu2008,Table 1
14,train,PVC,1000,0.01850,no,Yu2008,Table 1
15,train,PE,1000,0.00006,no,Yu2008,Table 1
16,train,PVAc,1000,0.00500,no,Yu2008,Table 1
17,train,PVCH,1000,0.00020,no,Yu2008,Table 1
18,train,PVN,1000,0.00095,no,Yu2008,Table 1
19,train,PNVC,1000,0.00090,no,Yu2008,Table 1
20,train,PEMA,1000,0.02940,no,Yu2008,Table 1
21,train,PIB,1000,0.00010,no,Yu2008,Table 1
22,train,PAN,1000,0.08500,no,Yu2008,Table 1
23,train,PoVP,1000,0.04600,no,Yu2008,Table 1
24,train,PVC,10000,0.02250,no,Yu2008,Table 1
25,train,PVAc,10000,0.00520,no,Yu2008,Table 1
26,train,PVA,10000,0.11500,no,Yu2008,Table 1
27,train,PVN,10000,0.00067,no,Yu2008,Table 1
28,train,PNVC,10000,0.00060,no,Yu2008,Table 1
29,train,PpClS,10000,0.00042,no,Yu2008,Table 1
30,train,P34DClS,10000,0.00570,no,Yu2008,Table 1
31,train,PMMA,10000,0.03000,no,Yu2008,Table 1
32,train,PEMA,10000,0.01850,no,Yu2008,Table 1
33,train,PnBMA,10000,0.02000,no,Yu2008,Table 1
34,train,PoVP,10000,0.05600,no,Yu2008,Table 1
35,train,PVC,100000,0.02100,no,Yu2008,Table 1
36,train,PVAc,100000,0.00560,no,Yu2008,Table 1
37,train,PVA,100000,0.10000,no,Yu2008,Table 1
38,train,PVN,100000,0.00075,no,Yu2008,Table 1
39,train,PNVC,100000,0.00050,no,Yu2008,Table 1
40,train,PpClS,100000,0.00042,no,Yu2008,Table 1
41,train,P34DClS,100000,0.00500,no,Yu2008,Table 1
42,train,PMMA,100000,0.01900,no,Yu2008,Table 1
43,train,PEMA,100000,0.01180,no,Yu2008,Table 1
44,train,PiBMA,100000,0.00370,no,Yu2008,Table 1
45,train,PnBMA,100000,0.01250,no,Yu2008,Table 1
46,train,PCHMA,100000,0.00500,no,Yu2008,Table 1
47,train,PP,100000,0.00015,no,Yu2008,Table 1
48,train,PmClS,100000,0.00410,no,Yu2008,Table 1
49,train,PVC,1000000,0.01600,no,Yu2008,Table 1
50,train,PE,1000000,0.00008,no,Yu2008,Table 1
51,train,PVAc,1000000,0.00650,no,Yu2008,Table 1
52,train,PVN,1000000,0.00087,no,Yu2008,Table 1
53,train,PNVC,1000000,0.00040,no,Yu2008,Table 1
54,train,P34DClS,1000000,0.00420,no,Yu2008,Table 1
55,train,PiBMA,1000000,0.00350,no,Yu2008,Table 1
56,train,PnBMA,1000000,0.00800,no,Yu2008,Table 1
57,train,PP,1000000,0.00010,no,Yu2008,Table 1
58,train,PAN,1000000,0.03300,no,Yu2008,Table 1
59,train,PmClS,1000000,0.00252,no,Yu2008,Table 1
60,train,PVC,10000000,0.01150,no,Yu2008,Table 1
61,train,PVAc,10000000,0.00490,no,Yu2008,Table 1
62,train,PVN,10000000,0.00130,no,Yu2008,Table 1
63,train,PNVC,10000000,0.00050,no,Yu2008,Table 1
64,train,P34DClS,10000000,0.00350,no,Yu2008,Table 1
65,train,PEMA,10000000,0.00750,no,Yu2008,Table 1
66,train,PiBMA,10000000,0.00460,no,Yu2008,Table 1
67,train,PnBMA,10000000,0.00550,no,Yu2008,Table 1
68,train,PCHMA,10000000,0.00230,no,Yu2008,Table 1
69,train,PP,10000000,0.00013,no,Yu2008,Table 1
70,train,PoVP,10000000,0.04200,no,Yu2008,Table 1
71,test,PAN,60,0.11300,no,Yu2008,Table 1
72,test,P34DClS,100,0.00850,no,Yu2008,Table 1
73,test,PmClS,100,0.01570,no,Yu2008,Table 1
74,test,PpClS,100,0.00056,no,Yu2008,Table 1
75,test,PS,100,0.00015,no,Yu2008,Table 1
76,test,P34DClS,1000,0.00700,no,Yu2008,Table 1
77,test,PCHMA,1000,0.00475,no,Yu2008,Table 1
78,test,PiBMA,1000,0.00700,no,Yu2008,Table 1
79,test,PmClS,1000,0.01072,no,Yu2008,Table 1
80,test,PMMA,1000,0.04650,no,Yu2008,Table 1
81,test,PnBMA,1000,0.03600,no,Yu2008,Table 1
82,test,PpClS,1000,0.00034,no,Yu2008,Table 1
83,test,PCHMA,10000,0.00600,no,Yu2008,Table 1
84,test,PiBMA,10000,0.00500,no,Yu2008,Table 1
85,test,PoVP,100000,0.06000,no,Yu2008,Table 1
86,test,PMMA,1000000,0.01400,no,Yu2008,Table 1
87,test,PEMA,1000000,0.00900,no,Yu2008,Table 1
88,test,PoVP,1000000,0.05600,no,Yu2008,Table 1
89,test,PVA,1000000,0.09500,no,Yu2008,Table 1
90,test,PMMA,10000000,0.01000,no,Yu2008,Table 1
91,test,PVA,10000000,0.09000,no,Yu2008,Table 1
92,test,PVA,100,0.40500,yes,Yu2008,Removed by Yu et al. as outlier
